post_id,platform,content_type,content_theme,date_posted,organic_impressions,paid_impressions,organic_engagements,paid_engagements,clicks,reach,followers_gain,conversions,sentiment_score,country
post_217,LinkedIn,Video,Engagement,2024-08-22,33631,29029,649,769,436,90318,479,21,-0.76,Japan
post_280,Twitter,Text,User-Generated,2024-10-10,31107,34194,3646,3790,1505,33329,222,76,0.16,
post_237,Twitter,Story,Engagement,2024-07-24,80260,42570,6448,1126,473,2967,486,103,-0.05,
post_208,Twitter,Video,Product Launch,2024-08-09,18625,41330,5272,2457,1768,53219,83,130,,
post_213,Pinterest,Story,Behind-the-Scenes,2024-10-10,46504,14885,7339,3376,631,-69592,434,146,0.28,
post_227,Facebook,Story,Behind-the-Scenes,2024-08-17,91386,6249,5021,4720,1607,44829,418,61,0.59,Australia
post_252,Facebook,Video,User-Generated,2024-08-30,23449,40190,8956,1065,1859,14884,44,91,0.61,China
post_156,Pinterest,Story,Promotion,2024-07-30,3772773,1590411,251214,89512,66082,1846963,2202,2539,0.75,Germany
post_202,LinkedIn,Story,Engagement,2024-07-29,77406,18121,3287,3309,544,67353,37,174,0.45,Canada
post_162,LinkedIn,Text,Information,2024-08-27,77062,4667,3287,3126,856,20762,102,291,-0.89,Brazil
post_218,Pinterest,Image,Information,2024-08-28,15801,28453,2842,4789,1626,6504,353,79,0.73,
post_191,Pinterest,Image,Behind-the-Scenes,2024-07-22,22737,9199,3035,4635,1991,96945,183,249,0.61,
post_260,TikTok,Story,Behind-the-Scenes,2024-09-17,25352,486,3978,2205,1128,5385,290,188,-0.1,
post_54,TikTok,Video,Behind-the-Scenes,2024-08-19,41966,43588,2600,3885,1713,57606,378,66,-0.2,
post_2,Facebook,Video,Event,2024-08-25,13676,22541,811,4392,1898,73357,321,185,-0.33,China
post_50,Instagram,Image,Event,2024-09-15,49147,42259,6623,1000,1697,87870,327,10,-0.27,United States
post_81,Pinterest,Carousel,User-Generated,2024-09-22,33096,44891,7530,490,861,27741,73,163,0.28,
post_206,Instagram,Carousel,Engagement,2024-08-06,66860,44979,7590,4245,1421,-89356,297,185,-0.04,China
post_35,TikTok,Video,Information,2024-08-10,91357,19087,4820,3719,488,82927,411,217,-0.69,
post_264,Instagram,Image,Engagement,2024-08-09,87594,41784,9565,2826,551,16203,237,154,-0.17,Brazil
post_92,Facebook,Text,User-Generated,2024-09-01,18589,30672,1945,3759,1481,97549,151,98,0.09,United Kingdom
post_53,Facebook,Carousel,Product Launch,2024-10-16,43219,4304,9690,2663,1233,60469,220,58,-0.11,Japan
post_265,TikTok,Story,Engagement,2024-09-08,-59827,20688,772,4352,1968,81017,439,138,0.74,
post_242,LinkedIn,Text,Information,2024-09-16,1463,16587,-8253,4452,1255,32179,337,209,0.8,Brazil
post_14,Facebook,Story,Engagement,2024-08-06,21676,35600,8766,-4543,1368,18601,455,283,0.76,United Kingdom
post_89,Facebook,Story,Event,2024-09-09,38700,5179,7347,3924,1705,74664,70,300,0.61,Australia
post_274,LinkedIn,Story,Engagement,2024-07-29,29910,13280,6686,4718,668,28948,303,32,-0.01,Canada
post_167,TikTok,Story,Information,2024-10-18,16431,6964,3372,4285,743,39712,280,106,-0.79,
post_250,Facebook,Story,Event,2024-09-21,3768570,1661369,229666,95699,80000,2970561,2949,2802,0.93,Japan
post_135,Twitter,Text,Engagement,2024-08-30,7903,33801,6668,3810,1594,43899,233,-102,-0.25,
post_62,Twitter,Carousel,Behind-the-Scenes,2024-10-17,3476976,713326,244361,146279,27114,1271415,2489,1315,0.67,China
post_244,Pinterest,Live,Event,2024-10-02,5697,19614,6308,3500,142,18635,440,269,-0.09,
post_55,Pinterest,Image,User-Generated,2024-09-30,99341,47255,4812,2880,1049,87079,433,284,-0.29,
post_51,Instagram,Video,Engagement,2024-08-16,31539,9670,9864,-1185,1116,23871,443,7,-0.59,France
post_175,LinkedIn,Video,Behind-the-Scenes,2024-08-14,89098,29524,9755,1102,18,7366,221,247,-0.17,Japan
post_190,TikTok,Image,,2024-10-09,5804,35616,8942,1217,467,78280,148,256,-0.19,
post_276,Instagram,Image,Behind-the-Scenes,2024-10-13,4621230,1385990,198910,92470,60203,2118280,1083,2423,0.79,France
post_188,Facebook,Video,Event,2024-09-01,10149,20826,5479,2504,322,48774,490,2,-0.53,France
post_170,LinkedIn,Live,Product Launch,2024-09-12,8686,10446,9778,4660,381,48002,441,66,-0.77,Brazil
post_59,LinkedIn,Live,Behind-the-Scenes,2024-09-07,47421,48630,407,637,1189,54008,213,207,0.12,United States
post_49,TikTok,Text,,2024-08-07,16220,35228,7532,4425,1530,55379,426,208,,
post_236,Facebook,Story,User-Generated,2024-08-05,42771,27134,5070,2242,394,25215,313,290,-0.71,China
post_253,Pinterest,Live,Product Launch,2024-09-16,88932,5147,7729,761,1893,13748,350,238,0.63,
post_22,TikTok,Story,Engagement,2024-09-08,-99430,6985,3685,4243,1151,16906,410,271,0.31,
post_161,TikTok,Story,Event,2024-10-14,74170,6396,4337,4579,384,44992,113,157,-0.66,
post_277,Pinterest,Story,Engagement,2024-10-09,90816,31091,2717,353,755,57973,315,232,-0.61,
post_192,Twitter,Image,Information,2024-07-26,60591,2615,5409,4271,570,35513,291,193,0.58,
post_294,Pinterest,Live,Information,2024-10-01,16674,48035,4352,479,954,18759,27,214,0.37,
post_258,Facebook,Story,Promotion,2024-09-24,72943,55,5985,2311,491,78353,162,207,-0.41,India
post_150,Instagram,Live,,2024-08-02,48294,-5742,9933,794,359,11739,59,203,0.68,Brazil
post_131,TikTok,Video,,2024-07-30,8925,26081,8309,3469,178,71471,142,40,-0.48,
post_152,Facebook,Carousel,Product Launch,2024-09-27,40171,46812,9458,4681,1280,59856,85,98,0.15,United Kingdom
post_100,Twitter,Text,Engagement,2024-09-25,97365,41025,9207,2821,1384,69742,213,153,-0.88,
post_88,Instagram,Story,Information,2024-10-16,33311,19562,4976,1698,1011,46718,478,140,0.22,Germany
post_215,LinkedIn,Live,Engagement,2024-10-07,36235,4486,4844,3730,567,65486,9,273,-0.43,United States
post_122,LinkedIn,Story,Event,2024-09-22,49085,49596,7331,3482,1709,33444,16,178,-0.77,Canada
post_194,Pinterest,Carousel,Information,2024-10-02,1409891,1524162,76229,115552,93488,1863642,2376,2534,0.75,France
post_21,Pinterest,Carousel,Product Launch,2024-08-11,13240,49226,5185,1631,104,63277,393,212,0.33,
post_189,Twitter,Video,Event,2024-09-14,63908,23510,8078,1439,177,19350,100,39,0.36,
post_72,Pinterest,Live,Product Launch,2024-07-26,90742,45573,3086,516,1942,39462,405,21,0.29,
post_107,Instagram,Carousel,Promotion,2024-09-10,11566,42591,1631,3089,124,93123,255,169,0.39,China
post_271,Instagram,Text,Event,2024-07-28,45572,30122,4850,1446,1991,26035,199,183,-0.82,Brazil
post_103,TikTok,Video,Behind-the-Scenes,2024-09-29,41425,33607,7735,3846,665,49589,23,113,-0.07,
